address,description,dimensions,homeType,price,pricePerSqF,realtor,realtorGroup,url,yearBuilt
15401 Winter Ray Dr Del Valle TX 78617,"Stunning, USDA Eligible 5 bed 3.5 bath with master and guest bed and bath downstairs home located in our beautiful new master planned community. Conveniently located to 71 and 130 for easy access around Austin. Included in this home is Full Home Automation and it is Wi-Fi Certified, lots of bells and whistles.Estimated October Closing.","5 beds, 3 full and 1 half baths, 2,802 sq ft",Single Family Home,308790,$110,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/15401-Winter-Ray-Dr_Del-Valle_TX_78617_M78343-75682,2018
15409 Winter Ray Dr Del Valle TX 78617,"Stunning 3 bed plus study 1 story located in our beautiful new USDA Eligible master planned community. Conveniently located to 71 and 130 for easy access around Austin. Included in this home is Full Home Automation and it is Wi-Fi Certified, lots of bells and whistles. Estimated October completion","3 beds, 2 full baths, 1,843 sq ft",Single Family Home,252815,$137,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/15409-Winter-Ray-Dr_Del-Valle_TX_78617_M78344-12948,2018
7329 Spring Ray Dr Del Valle TX 78617,"Stunning, USDA Eligible home located in our beautiful new master planned community. Conveniently located to 71 and 130 for easy access around Austin. Included in this  Wi-Fi Certified home is home automation including lots of bells and whistlesEstimated November completion","3 beds, 2 full baths, 1,690 sq ft",Single Family Home,240890,$143,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/7329-Spring-Ray-Dr_Del-Valle_TX_78617_M77990-84835,2018
7305 Spring Ray Dr Del Valle TX 78617,"Stunning, USDA Eligible home located in our beautiful new master planned community. Conveniently located to 71 and 130 for easy access around Austin. Included in this home is Full Home Automation and it is Wi-Fi Certified, lots of bells and whistlesEstimated September Closing","3 beds, 2 full baths, 1,498 sq ft",Single Family Home,232830,$155,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/7305-Spring-Ray-Dr_Del-Valle_TX_78617_M77948-36517,2018
15413 Winter Ray Dr Del Valle TX 78617,"Stunning, USDA Eligible home located in our beautiful new master planned community. Conveniently located to 71 and 130 for easy access around Austin. Included in this home is Full Home Automation and it is Wi-Fi Certified, lots of bells and whistles. Estimated September completion","3 beds, 2 full baths, 1,628 sq ft",Single Family Home,240280,$148,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/15413-Winter-Ray-Dr_Del-Valle_TX_78617_M77991-96632,2018
7309 Spring Ray Dr Del Valle TX 78617,"Stunning, USDA Eligible home, 3 bedroom plus flex space for office or future 4th bedroom, located in our beautiful new master planned community. Conveniently located to 71 and 130 for easy access around Austin. Included in this home is Full Home Automation and it is Wi-Fi Certified, lots of bells and whistlesEstimated September Closing.","3 beds, 2 full baths, 2,048 sq ft",Single Family Home,258020,$126,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/7309-Spring-Ray-Dr_Del-Valle_TX_78617_M78025-87833,2018
Marion Sun Chase 40s 15512 Cottage Orchid Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,215990,$145,,,https://www.realtor.com/realestateandhomes-detail/Marion_Sun-Chase-40s_15512-Cottage-Orchid_Del-Valle_TX_78617_P411905514339,
Fernbrook Sun Chase 40s 15512 Cottage Orchid Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,211990,$152,,,https://www.realtor.com/realestateandhomes-detail/Fernbrook_Sun-Chase-40s_15512-Cottage-Orchid_Del-Valle_TX_78617_P415337760896,
13109 Lofton Cliff Dr Del Valle TX 78617,"This stunning 2 story house is an investors dream!  From the wood floors to the large patio out back this house will never go unrented.  Just minutes from downtown Austin and within walking distance to the Elementary, Middle and High School.  This house has it all.","3 beds, 2 full and 1 half baths, 1,917 sq ft, 5,750 sqft lot",Single Family Home,187000,$98,Alexander  Home Team,Keller Williams Realty,https://www.realtor.com/realestateandhomes-detail/13109-Lofton-Cliff-Dr_Del-Valle_TX_78617_M75845-13868,2002
Oberlin Sun Chase 40s 15512 Cottage Orchid Del Valle TX 78617,"Sun Chase is Lennar Austin's newest master planned community located in Southeast Austin off of the 130 Toll and Highway 71! This amazing location gives you quick access to major highways, the Austin-Bergstrom International Airport and downtown Austin, where you can find plenty of entertainment and restaurants. Only minutes away from Sun Chase is the Circuit of the Americas, which has year round concerts and entertainment, including the Formula 1 Race.Sun Chase will feature a future amenity center as well as a greenbelt and walking trails.",USD,single_family,199990,$161,,,https://www.realtor.com/realestateandhomes-detail/Oberlin_Sun-Chase-40s_15512-Cottage-Orchid_Del-Valle_TX_78617_P414004238640,
2703 Citation Dr Del Valle TX 78617,"15 min to airport, 25 min to city & in a world of its own. Split in the river around 3 permanent islands, perfect for fishing & camping. Large fruit & shade trees abound. Walk/ride horses across river. Could be developed into dream home location or an income-generating river retreat (10 min from C.O.A.). Well-maintained & updated 3/2 manufactured home featuring two nicely-built porches, one of which is large, covered & faces the river.Bluebonnet elec, Garfield water & AT&T high-speed internet.","3 beds, 2 full baths, 1,152 sq ft, 4.41 acres lot",Single Family Home,399000,$346,Kristi Cohen,Spyglass Realty And Investment,https://www.realtor.com/realestateandhomes-detail/2703-Citation-Dr_Del-Valle_TX_78617_M86147-46439,1994
124 Jalisco Ct Del Valle TX 78617,Super clean and well kept mobile. This park like one acre is quiet and private. Enjoy the open backyard with the kids or family BBQ's! Front and back porches for relaxing and watching the wildlife in the trees and landscape! Easy commute to Austin.,"3 beds, 2 full baths, 1,216 sq ft, 1.01 acres lot",Single Family Home,200000,$164,David Coleman,"Coleman & Patterson, Llc",https://www.realtor.com/realestateandhomes-detail/124-Jalisco-Ct_Del-Valle_TX_78617_M83512-30582?ex=TX632884871,1996
105 Laguna Ct Del Valle TX 78617,"REDUCED!! Great NEW home, Go see the room in the upper level entering from the Garage. Guest Home can be completed per new buyer request for an extra amount negotiable if needed.","3 beds, 2 full baths, 2,343 sq ft, 1.04 acres lot",Single Family Home,340000,$145,Luis Montemayor Garza,Texas Ally Real Estate Group,https://www.realtor.com/realestateandhomes-detail/105-Laguna-Ct_Del-Valle_TX_78617_M80763-72704,2015
7313 Dungarees Way Del Valle TX 78617,Estimated August move-in!,"4 beds, 3 full baths, 2,078 sq ft",Single Family Home,247690,$119,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/7313-Dungarees-Way_Del-Valle_TX_78617_M78704-76934,2018
146 Casa Blanca Dr Del Valle TX 78617,"NO HOA! LIGHT RESTRICTIONS! Beautiful one story, open floor plan setting on 1+ Acres. This custom-built home  has 3 bedrooms, 2.5 baths, recessed ceilings/lighting, large open kitchen with granite counter tops, custom cabinets and covered patio. Master bath has walk in shower, garden tub and 2 walk in closets. Close to COTA and approximately 8 minutes from 183 and 7 minutes from 812. Easy access to shopping and major roads.","3 beds, 2 full and 1 half baths, 2,000 sq ft, 1.02 acres lot",Single Family Home,269900,$135,Andy Patlan,Citywide Realty,https://www.realtor.com/realestateandhomes-detail/146-Casa-Blanca-Dr_Del-Valle_TX_78617_M83567-08676,2014
1504 Citation Cir Del Valle TX 78617,"INVESTMENT OPPORTUNITY -Almost 2 Acres on the Colorado River. There are 4 income producing units. 2/1 SW/MH rents for $1,000;1/1 Efficiency rents for $700;1/1 Efficiency rents for $750 & 3/2 DW/MH rents for $1300. All units currently occupied. Fully Fenced w/private entrance. Private driveway.  Several storage units, 4 septic tanks & 2 water meters. Water well on property. DW/MH has above ground pool.","13 beds, 5 full baths, 3,092 sq ft, 1.83 acres lot",Single Family Home,445000,$144,Jeannie Cisneros,Real Estate Personal Sevices,https://www.realtor.com/realestateandhomes-detail/1504-Citation-Cir_Del-Valle_TX_78617_M84915-07967,1940
14603 Bern Dr Del Valle TX 78617,"Agents, please text listing agents 24 hrs. before showing. The owner has 3 dogs in the back shed. No survey available. Seller added a new septic 2017, no central A/C or heater. Home offers 3 beds /2 baths. Homes needs some TLC. 10X10 shed on the side. Minutes from Formula 1, Austin Airport, approximately 15 miles to downtown, easy access to 130 Toll Road and 183 S. This home does not qualify for FHA. No Owner Financing","3 beds, 2 full baths, 900 sq ft, 7,492 sqft lot",Single Family Home,136000,$151,Carolina Aceituno,Keller Williams Realty-Rr,https://www.realtor.com/realestateandhomes-detail/14603-Bern-Dr_Del-Valle_TX_78617_M84285-98501,1999
163 Stony Creek Dr Del Valle TX 78617,"Great remodeled two story home with 4 bedrooms and 2baths on over a quarter acre lot. Deck located off of upstairs master bedroom that also includes a fireplace. Great detached workshop and plenty of space for extra vehicles or equipment. Trailer on property is not included in price, however seller willing to consider selling separately.","4 beds, 2 full baths, 1,792 sq ft, 0.28 acres lot",Single Family Home,164900,$92,Edward Dunigan Jr.,Keller Williams Realty,https://www.realtor.com/realestateandhomes-detail/163-Stony-Creek-Dr_Del-Valle_TX_78617_M73648-64214,2005
2864 Fm 812 Del Valle TX 78617,"Great opportunity to purchase a piece of land on FM 812 in Del Valle, Build your dream home on 1.205 Acres.",1.21 acres lot,,130000,125 days,Rafael Jaimes,Texas Premier Realty,https://www.realtor.com/realestateandhomes-detail/2864-Fm-812_Del-Valle_TX_78617_M81920-38454,
3002 Ellon Rd Del Valle TX 78617,"Older home that is ready for make over, good bones, wood floors, high ceilings, spacious rooms, corner lot with trees. This is a Fixer Upper and is being sold As-is. Buyer's financing fell through.","2 beds, 1 full bath, 1,570 sq ft, 0.24 acres lot",Single Family Home,138500,$88,"HARRY POKORNY, Agent",Lone Star Properties,https://www.realtor.com/realestateandhomes-detail/3002-Ellon-Rd_Del-Valle_TX_78617_M78698-00249,1940
7317 Dungarees Way Austin TX 78617,"Ready Now! Stunning, USDA Eligible home located in our beautiful new master planned community. Conveniently located to 71 and 130 for easy access around Austin. Included in this Wi-Fi Certified home is Full Home Automation, lots of bells and whistles. Come in today to find your new home!","3 beds, 2 full baths, 1,491 sq ft",Single Family Home,219390,$147,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/7317-Dungarees-Way_Austin_TX_78617_M81679-89326,2018
7329 Dungarees Way Austin TX 78617,"Stunning, USDA Eligible home located in our beautiful new master planned community. Conveniently located to 71 and 130 for easy access around Austin. Included in this Wi-Fi Certified home is Full Home Automation, lots of bells and whistles.Estimated June completion","3 beds, 2 full baths, 1,279 sq ft",Single Family Home,210290,$164,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/7329-Dungarees-Way_Austin_TX_78617_M83200-34372,2018
7337 Dungarees Way Austin TX 78617,"Stunning, USDA Eligible home located in our beautiful new master planned community. Conveniently located to 71 and 130 for easy access around Austin. Included in this Wi-Fi Certified home is Full Home Automation, lots of bells and whistles. Come out today to see your new home!Estimated August completion.","3 beds, 2 full and 1 half baths, 1,638 sq ft",Single Family Home,231060,$141,Matt Ikard Team,CTX Listings,https://www.realtor.com/realestateandhomes-detail/7337-Dungarees-Way_Austin_TX_78617_M81442-73666,2018
Eva St Del Valle TX 78704,Purchase as a hold for future development. HEB is Coming on SE of 973 and 71. Velocity Crossing planned mixed-use development at the corner of SH 71. FM 937 will become a four_lane divided Highway a River Bend master plan apartment complex coming on South of 71. A Surf Park which will drive tourism will also be coming to the area located on 71.,"6,360 sqft lot",1945,130000,235 days,,,https://www.realtor.com/realestateandhomes-detail/Eva-St_Del-Valle_TX_78704_M81570-38430,
5101 Wolf Ln Del Valle TX 78617,"5 Acres to be subdivided out of 10 Acres. Electricity available, septic needed.  Water well needed or owner can run a water line from his well with a meter and sell the water. Land approximately 8 miles from Circuit of the Americas & 8 miles from airport.  Approx. 12 miles from downtown.  See agent for legal description.","100 sq ft, 5.0 acres lot",Farms/Ranches,150000,"$1,500",,,https://www.realtor.com/realestateandhomes-detail/5101-Wolf-Ln_Del-Valle_TX_78617_M78476-44774,1900
4805 Wolf Ln Del Valle TX 78617,A new survey will determine the acreage about 2.5 to 3 acres. Price remains the same. Water line is not on Wolf Lane yet so well is needed or owner is willing to run a line from his well with a meter on it and sell the water. About 8 miles from Circuit of the Americas & 8 miles from airport.  There are two concrete covered culverts as entrances to the property but no gate yet.  Back fence abuts a property that has a skiing lake.  Property has no restrictions.,"3,808 sq ft, 2.5 acres lot",Farms/Ranches,130000,$34,,,https://www.realtor.com/realestateandhomes-detail/4805-Wolf-Ln_Del-Valle_TX_78617_M72234-58520,1970
Del Valle TX 78704,"Great location!!!! Minutes from Airport, formula 1 & downtown. Easy access to Hwy 183/IH-35/ Toll Road / Hwy 71 east and 290 HWY.","1 bed, 1 full bath, 1,044 sq ft, 8,538 sqft lot",Single Family Home,150000,$144,,,https://www.realtor.com/realestateandhomes-detail/Del-Valle_TX_78704_M80661-09530,1959
3114 Alice Ave Del Valle TX 78617,"Great location!!!! Minutes from Airport, formula 1 & downtown. Easy access to Hwy 183/IH-35/ Toll Road / Hwy 71 east and 290 HWY.","1 bed, 1 full bath, 560 sq ft, 0.23 acres lot",Mfd/Mobile Home,150000,$268,,,https://www.realtor.com/realestateandhomes-detail/3114-Alice-Ave_Del-Valle_TX_78617_M73532-68207,1980
16001 Richards Dr Del Valle TX 78617,"This 80+ acre tract is located within a 138 acre parcel; an access road from Richards to the parcel will be included in the sale. Parcel is fairly flat, cleared and fenced. Seasonal tributary at the bottom of the parcel with a portion of acreage in floodplain. Many potential building sites. This acreage is located between the two new water themed parks that opened on Hwy 71. Potential for an upscale RV park, business, home sites, other commercial.  Currently Ag exempt.",80.0 acres lot,Farms/Ranches,1045815,No Info,,,https://www.realtor.com/realestateandhomes-detail/16001-Richards-Dr_Del-Valle_TX_78617_M88149-73901,
7125 Kellam Rd Del Valle TX 78617,"19.43 Acres on newly constructed Kellam R. north of the COTA F-1 Race track. Easy access to Hi-Way 71-E, Toll I-30 and F.M. 812. Two vacant houses and small livestock pond. On-site Austin utilities and gas. Outside City of Austin and presently no-zoning. Three miles from ABIA and less than two miles from Del Valle schools and one mile form residential subdivisions. Location allows for unlimited uses and current Agriculture Exemption.","3 beds, 2 full baths, 1,400 sq ft, 19.43 acres lot",Farms/Ranches,750000,$536,,,https://www.realtor.com/realestateandhomes-detail/7125-Kellam-Rd_Del-Valle_TX_78617_M72400-15418,1965
6300 Wolf Ln Del Valle TX 78617,"Parcel #297680 for 213 acres with old restaurant & barn, plus parcel #297679 for .44 acres with 1352 sqft home included in sale.  Seller prefers to keep 1 acre truck yd. Per owner, there is an additional 12 (unclaimed) acres fence w/this property. Formerly the Catfish Hill Farm & Restaurant. Home at 6203 Wolf Ln, large barn, old restaurant (poor condition). 3 very large ponds plus many more small ponds, 2 creeks, views of Austin. 3rd entrance off Meurer. Apprx. 70 acres cleared. Deer, turkey, wild pig.","2 beds, 1 full and 1 half baths, 1,352 sq ft, 213.0 acres lot",Farms/Ranches,1650000,"$1,220",,,https://www.realtor.com/realestateandhomes-detail/6300-Wolf-Ln_Del-Valle_TX_78617_M82837-01668?ex=TX620518011,1968
10201 Peterson Rd Del Valle TX 78617,"Located About 2.5 Miles from the Formula 1 Race Track and Event Facility.  Virgin Open Land.  Good Native Grass Pasture Land or Tillable Soil. Scattered Native Mesquite, Cedar & Hackberry Trees.  Wet Weather Draw Crosses Property Near Peterson Road & Another Crosses Near the Rear of the Property.",14.04 acres lot,Farms/Ranches,249900,No Info,"Bill Friedrich, Agent","Heart Of Texas, Realtor",https://www.realtor.com/realestateandhomes-detail/10201-Peterson-Rd_Del-Valle_TX_78617_M89731-48904,
8715 Elroy Rd Del Valle TX 78617,"Great Opportunity for Investors for 50+ Acres.  Directly Across Elroy Road from Formula One Race Track.  Near Side Entrance to Track. Mixed Use Potential for Commercial, RV Park, Retail, Restaurant. Unimproved Ranch Land Property, with Wet Weather Creek, 4 Oil Wells, many Mesquite trees. On-Site Travel by vehicle is at your own risk of mesquite thorns in tires. Tax Parcel 300325 - 54.6340 Ac (Previously were two parcels).  Some Owner Finance Terms Available.",54.63 acres lot,Farms/Ranches,750000,No Info,"Bill Friedrich, Agent","Heart Of Texas, Realtor",https://www.realtor.com/realestateandhomes-detail/8715-Elroy-Rd_Del-Valle_TX_78617_M85889-09156,
16200 Fagerquist Rd Del Valle TX 78617,"Awesome 5 acre tract with large 5 bedroom 3 bath manufactured home.  House is approved with short sale.  Bank will not take less than a NET of $140,800 (they have an bank appraisal of $160,000 on file). Great land so close to Austin.  Sold AS IS.  Tenant is on month to month.","5 beds, 3 full baths, 2,016 sq ft, 5.35 acres lot",Mfd/Mobile Home,154000,$76,Jaime Elizalde,La Casa Realty Group,https://www.realtor.com/realestateandhomes-detail/16200-Fagerquist-Rd_Del-Valle_TX_78617_M86004-34360,1996
